Date,Week,Month,Quarter,Year,Region,Origin,Destination,Distance,Commodity,Week Low,Week High,Midpoint,Rate Per Mile,Availability
01/07/2020,1,1,1,2020,California,South District California,ATLANTA,2100,"CITRUS, AVOCADOS",4500,5500,5100,2.43,3
01/07/2020,1,1,1,2020,California,South District California,BALTIMORE,2600,"CITRUS, AVOCADOS",5800,6800,6300,2.42,3
01/07/2020,1,1,1,2020,California,South District California,BOSTON,2900,"CITRUS, AVOCADOS",6600,7500,6900,2.38,3
01/07/2020,1,1,1,2020,California,South District California,CHICAGO,2030,"CITRUS, AVOCADOS",4100,5000,4500,2.22,3
01/07/2020,1,1,1,2020,California,South District California,DALLAS,1300,"CITRUS, AVOCADOS",3200,4200,3400,2.62,3
01/07/2020,1,1,1,2020,California,South District California,MIAMI,2600,"CITRUS, AVOCADOS",6300,7300,6500,2.50,3
01/07/2020,1,1,1,2020,California,South District California,NEW YORK,2700,"CITRUS, AVOCADOS",6300,7300,6500,2.41,3
01/07/2020,1,1,1,2020,California,South District California,PHILADELPHIA,2650,"CITRUS, AVOCADOS",6100,7000,6350,2.40,3
01/07/2020,1,1,1,2020,California,South District California,SEATTLE,1300,"CITRUS, AVOCADOS",2800,3400,3250,2.50,3
01/14/2020,2,1,1,2020,California,South District California,ATLANTA,2100,"CITRUS, AVOCADOS",4500,5500,5100,2.43,3
01/14/2020,2,1,1,2020,California,South District California,BALTIMORE,2600,"CITRUS, AVOCADOS",5600,6600,6300,2.42,3
01/14/2020,2,1,1,2020,California,South District California,BOSTON,2900,"CITRUS, AVOCADOS",6400,7200,6900,2.38,3
01/14/2020,2,1,1,2020,California,South District California,CHICAGO,2030,"CITRUS, AVOCADOS",3900,4800,4500,2.22,3
01/14/2020,2,1,1,2020,California,South District California,DALLAS,1300,"CITRUS, AVOCADOS",3000,3900,3500,2.69,3
01/14/2020,2,1,1,2020,California,South District California,MIAMI,2600,"CITRUS, AVOCADOS",6100,6900,6500,2.50,3
01/14/2020,2,1,1,2020,California,South District California,NEW YORK,2700,"CITRUS, AVOCADOS",6000,6900,6400,2.37,3
01/14/2020,2,1,1,2020,California,South District California,PHILADELPHIA,2650,"CITRUS, AVOCADOS",5900,6800,6300,2.38,3
01/14/2020,2,1,1,2020,California,South District California,SEATTLE,1300,"CITRUS, AVOCADOS",2800,3400,3250,2.50,3
01/21/2020,3,1,1,2020,California,South District California,PHILADELPHIA,2650,"CITRUS, AVOCADOS",5900,6800,6300,2.38,3
01/21/2020,3,1,1,2020,California,South District California,ATLANTA,2100,"CITRUS, AVOCADOS",4500,5500,5100,2.43,3
01/21/2020,3,1,1,2020,California,South District California,BALTIMORE,2600,"CITRUS, AVOCADOS",5600,6600,6300,2.42,3
01/21/2020,3,1,1,2020,California,South District California,BOSTON,2900,"CITRUS, AVOCADOS",6400,7200,6900,2.38,3
01/21/2020,3,1,1,2020,California,South District California,CHICAGO,2030,"CITRUS, AVOCADOS",3900,4800,4500,2.22,3
01/21/2020,3,1,1,2020,California,South District California,DALLAS,1300,"CITRUS, AVOCADOS",3000,3900,3500,2.69,3
01/21/2020,3,1,1,2020,California,South District California,MIAMI,2600,"CITRUS, AVOCADOS",6100,6900,6500,2.50,3
01/21/2020,3,1,1,2020,California,South District California,NEW YORK,2700,"CITRUS, AVOCADOS",6000,6900,6400,2.37,3
01/21/2020,3,1,1,2020,California,South District California,SEATTLE,1300,"CITRUS, AVOCADOS",2800,3400,3250,2.50,3
01/28/2020,4,1,1,2020,California,South District California,ATLANTA,2100,"CITRUS, AVOCADOS",4500,5400,5100,2.43,2
01/28/2020,4,1,1,2020,California,South District California,BALTIMORE,2600,"CITRUS, AVOCADOS",5600,6600,6300,2.42,2
01/28/2020,4,1,1,2020,California,South District California,BOSTON,2900,"CITRUS, AVOCADOS",6400,7200,6900,2.38,2
01/28/2020,4,1,1,2020,California,South District California,CHICAGO,2030,"CITRUS, AVOCADOS",3900,4800,4500,2.22,2
01/28/2020,4,1,1,2020,California,South District California,DALLAS,1300,"CITRUS, AVOCADOS",3000,3900,3400,2.62,2
01/28/2020,4,1,1,2020,California,South District California,MIAMI,2600,"CITRUS, AVOCADOS",6100,6900,6500,2.50,2
01/28/2020,4,1,1,2020,California,South District California,NEW YORK,2700,"CITRUS, AVOCADOS",6000,6900,6400,2.37,2
01/28/2020,4,1,1,2020,California,South District California,PHILADELPHIA,2650,"CITRUS, AVOCADOS",5900,6800,6300,2.38,2
01/28/2020,4,1,1,2020,California,South District California,SEATTLE,1300,"CITRUS, AVOCADOS",2800,3400,3250,2.50,2
03/17/2020,11,3,1,2020,California,South District California,ATLANTA,2100,"CITRUS, AVOCADOS",4600,5500,5250,2.50,3
03/17/2020,11,3,1,2020,California,South District California,BALTIMORE,2600,"CITRUS, AVOCADOS",5700,6600,6200,2.38,3
03/17/2020,11,3,1,2020,California,South District California,BOSTON,2900,"CITRUS, AVOCADOS",6400,7200,6600,2.28,3
03/17/2020,11,3,1,2020,California,South District California,CHICAGO,2030,"CITRUS, AVOCADOS",4000,4800,4600,2.27,3
03/17/2020,11,3,1,2020,California,South District California,DALLAS,1300,"CITRUS, AVOCADOS",3200,3900,3600,2.77,3
03/17/2020,11,3,1,2020,California,South District California,MIAMI,2600,"CITRUS, AVOCADOS",6400,7100,6600,2.54,3
03/17/2020,11,3,1,2020,California,South District California,NEW YORK,2700,"CITRUS, AVOCADOS",6100,6800,6300,2.33,3
03/17/2020,11,3,1,2020,California,South District California,PHILADELPHIA,2650,"CITRUS, AVOCADOS",5900,6700,6200,2.34,3
03/17/2020,11,3,1,2020,California,South District California,SEATTLE,1300,"CITRUS, AVOCADOS",2600,3400,3250,2.50,3
02/04/2020,5,2,1,2020,California,South District California,ATLANTA,2100,"CITRUS, AVOCADOS",4300,5400,5100,2.43,3
02/04/2020,5,2,1,2020,California,South District California,BALTIMORE,2600,"CITRUS, AVOCADOS",5400,6600,6300,2.42,3
02/04/2020,5,2,1,2020,California,South District California,BOSTON,2900,"CITRUS, AVOCADOS",6200,7200,6900,2.38,3
02/04/2020,5,2,1,2020,California,South District California,CHICAGO,2030,"CITRUS, AVOCADOS",3700,4800,4500,2.22,3
02/04/2020,5,2,1,2020,California,South District California,DALLAS,1300,"CITRUS, AVOCADOS",2800,3900,3400,2.62,3
02/04/2020,5,2,1,2020,California,South District California,MIAMI,2600,"CITRUS, AVOCADOS",5900,6900,6500,2.50,3
02/04/2020,5,2,1,2020,California,South District California,NEW YORK,2700,"CITRUS, AVOCADOS",5800,6900,6400,2.37,3
02/04/2020,5,2,1,2020,California,South District California,PHILADELPHIA,2650,"CITRUS, AVOCADOS",5700,6800,6300,2.38,3
02/04/2020,5,2,1,2020,California,South District California,SEATTLE,1300,"CITRUS, AVOCADOS",2600,3400,3250,2.50,3
02/11/2020,6,2,1,2020,California,South District California,ATLANTA,2100,"CITRUS, AVOCADOS",4300,5400,5000,2.38,3
02/11/2020,6,2,1,2020,California,South District California,BALTIMORE,2600,"CITRUS, AVOCADOS",5400,6600,6000,2.31,3
02/11/2020,6,2,1,2020,California,South District California,BOSTON,2900,"CITRUS, AVOCADOS",6200,7200,6700,2.31,3
02/11/2020,6,2,1,2020,California,South District California,CHICAGO,2030,"CITRUS, AVOCADOS",3700,4800,4500,2.22,3
02/11/2020,6,2,1,2020,California,South District California,DALLAS,1300,"CITRUS, AVOCADOS",2800,3900,3400,2.62,3
02/11/2020,6,2,1,2020,California,South District California,MIAMI,2600,"CITRUS, AVOCADOS",5900,6900,6500,2.50,3
02/11/2020,6,2,1,2020,California,South District California,NEW YORK,2700,"CITRUS, AVOCADOS",5800,6800,6200,2.30,3
02/11/2020,6,2,1,2020,California,South District California,PHILADELPHIA,2650,"CITRUS, AVOCADOS",5500,6600,6000,2.26,3
02/11/2020,6,2,1,2020,California,South District California,SEATTLE,1300,"CITRUS, AVOCADOS",2600,3400,3250,2.50,3
02/18/2020,7,2,1,2020,California,South District California,ATLANTA,2100,"CITRUS, AVOCADOS",4300,5400,5000,2.38,3
02/18/2020,7,2,1,2020,California,South District California,BALTIMORE,2600,"CITRUS, AVOCADOS",5400,6600,6000,2.31,3
02/18/2020,7,2,1,2020,California,South District California,BOSTON,2900,"CITRUS, AVOCADOS",6100,7100,6600,2.28,3
02/18/2020,7,2,1,2020,California,South District California,CHICAGO,2030,"CITRUS, AVOCADOS",3700,4800,4500,2.22,3
02/18/2020,7,2,1,2020,California,South District California,DALLAS,1300,"CITRUS, AVOCADOS",2800,3900,3300,2.54,3
02/18/2020,7,2,1,2020,California,South District California,MIAMI,2600,"CITRUS, AVOCADOS",5900,6900,6400,2.46,3
02/18/2020,7,2,1,2020,California,South District California,NEW YORK,2700,"CITRUS, AVOCADOS",5800,6800,6200,2.30,3
02/18/2020,7,2,1,2020,California,South District California,PHILADELPHIA,2650,"CITRUS, AVOCADOS",5500,6600,6000,2.26,3
02/18/2020,7,2,1,2020,California,South District California,SEATTLE,1300,"CITRUS, AVOCADOS",2600,3400,3250,2.50,3
02/25/2020,8,2,1,2020,California,South District California,ATLANTA,2100,"CITRUS, AVOCADOS",4300,5200,5000,2.38,3
02/25/2020,8,2,1,2020,California,South District California,BALTIMORE,2600,"CITRUS, AVOCADOS",5200,6200,5900,2.27,3
02/25/2020,8,2,1,2020,California,South District California,BOSTON,2900,"CITRUS, AVOCADOS",6100,7000,6500,2.24,3
02/25/2020,8,2,1,2020,California,South District California,CHICAGO,2030,"CITRUS, AVOCADOS",3700,4800,4400,2.17,3
02/25/2020,8,2,1,2020,California,South District California,DALLAS,1300,"CITRUS, AVOCADOS",2800,3600,3300,2.54,3
02/25/2020,8,2,1,2020,California,South District California,MIAMI,2600,"CITRUS, AVOCADOS",5700,6700,6400,2.46,3
02/25/2020,8,2,1,2020,California,South District California,NEW YORK,2700,"CITRUS, AVOCADOS",5600,6600,6100,2.26,3
02/25/2020,8,2,1,2020,California,South District California,PHILADELPHIA,2650,"CITRUS, AVOCADOS",5300,6400,5900,2.23,3
02/25/2020,8,2,1,2020,California,South District California,SEATTLE,1300,"CITRUS, AVOCADOS",2600,3400,3250,2.50,3
03/03/2020,9,2,1,2020,California,South District California,ATLANTA,2100,"CITRUS, AVOCADOS",4300,5200,5000,2.38,3
03/03/2020,9,2,1,2020,California,South District California,BALTIMORE,2600,"CITRUS, AVOCADOS",5100,6100,5800,2.23,3
03/03/2020,9,2,1,2020,California,South District California,BOSTON,2900,"CITRUS, AVOCADOS",6100,7000,6500,2.24,3
03/03/2020,9,2,1,2020,California,South District California,CHICAGO,2030,"CITRUS, AVOCADOS",3700,4800,4400,2.17,3
03/03/2020,9,2,1,2020,California,South District California,DALLAS,1300,"CITRUS, AVOCADOS",2800,3600,3300,2.54,3
03/03/2020,9,2,1,2020,California,South District California,MIAMI,2600,"CITRUS, AVOCADOS",5700,6700,6400,2.46,3
03/03/2020,9,2,1,2020,California,South District California,NEW YORK,2700,"CITRUS, AVOCADOS",5600,6600,6100,2.26,3
03/03/2020,9,2,1,2020,California,South District California,PHILADELPHIA,2650,"CITRUS, AVOCADOS",5300,6400,5900,2.23,3
03/03/2020,9,2,1,2020,California,South District California,SEATTLE,1300,"CITRUS, AVOCADOS",2600,3400,3250,2.50,3
03/10/2020,10,3,1,2020,California,South District California,ATLANTA,2100,"CITRUS, AVOCADOS",4200,5200,5000,2.38,3
03/10/2020,10,3,1,2020,California,South District California,BALTIMORE,2600,"CITRUS, AVOCADOS",5100,6100,5800,2.23,3
03/10/2020,10,3,1,2020,California,South District California,BOSTON,2900,"CITRUS, AVOCADOS",6000,7000,6500,2.24,3
03/10/2020,10,3,1,2020,California,South District California,CHICAGO,2030,"CITRUS, AVOCADOS",3600,4700,4300,2.12,3
03/10/2020,10,3,1,2020,California,South District California,DALLAS,1300,"CITRUS, AVOCADOS",2800,3600,3300,2.54,3
03/10/2020,10,3,1,2020,California,South District California,MIAMI,2600,"CITRUS, AVOCADOS",5700,6700,6400,2.46,3
03/10/2020,10,3,1,2020,California,South District California,NEW YORK,2700,"CITRUS, AVOCADOS",5600,6600,6100,2.26,3
03/10/2020,10,3,1,2020,California,South District California,PHILADELPHIA,2650,"CITRUS, AVOCADOS",5300,6400,5900,2.23,3
03/10/2020,10,3,1,2020,California,South District California,SEATTLE,1300,"CITRUS, AVOCADOS",2600,3400,3250,2.50,3
03/24/2020,12,3,1,2020,California,South District California,ATLANTA,2100,"CITRUS, AVOCADOS",4900,5900,5500,2.62,3
03/24/2020,12,3,1,2020,California,South District California,BALTIMORE,2600,"CITRUS, AVOCADOS",6000,7000,6300,2.42,3
03/24/2020,12,3,1,2020,California,South District California,BOSTON,2900,"CITRUS, AVOCADOS",6700,7500,7000,2.41,3
03/24/2020,12,3,1,2020,California,South District California,CHICAGO,2030,"CITRUS, AVOCADOS",4400,5200,4800,2.36,3
03/24/2020,12,3,1,2020,California,South District California,DALLAS,1300,"CITRUS, AVOCADOS",3400,4200,3800,2.92,3
03/24/2020,12,3,1,2020,California,South District California,MIAMI,2600,"CITRUS, AVOCADOS",6400,7300,6600,2.54,3
03/24/2020,12,3,1,2020,California,South District California,NEW YORK,2700,"CITRUS, AVOCADOS",6400,7200,6600,2.44,3
03/24/2020,12,3,1,2020,California,South District California,PHILADELPHIA,2650,"CITRUS, AVOCADOS",6200,6900,6400,2.42,3
03/24/2020,12,3,1,2020,California,South District California,SEATTLE,1300,"CITRUS, AVOCADOS",2750,3400,3250,2.50,3
11/04/2003,44,11,4,2003,Texas,"Lower Rio Grande Valley, Texas",ATLANTA,1060,"CITRUS, AVOCADOES INCLUDING MEXICAN CROSSINGS.",1200,1600,1300,1.23,1
11/04/2003,44,11,4,2003,Texas,"Lower Rio Grande Valley, Texas",CHICAGO,1360,"CITRUS, AVOCADOES INCLUDING MEXICAN CROSSINGS.",1600,1600,1600,1.18,1
11/04/2003,44,11,4,2003,Texas,"Lower Rio Grande Valley, Texas",DALLAS,430,"CITRUS, AVOCADOES INCLUDING MEXICAN CROSSINGS.",700,700,700,1.63,1
11/04/2003,44,11,4,2003,Texas,"Lower Rio Grande Valley, Texas",LOS ANGELES,1520,"CITRUS, AVOCADOES INCLUDING MEXICAN CROSSINGS.",1200,1400,1300,0.86,1
11/04/2003,44,11,4,2003,Texas,"Lower Rio Grande Valley, Texas",NEW YORK,1900,"CITRUS, AVOCADOES INCLUDING MEXICAN CROSSINGS.",2300,2400,2350,1.24,1
11/12/2003,45,11,4,2003,Texas,"Lower Rio Grande Valley, Texas",ATLANTA,1060,"CITRUS, AVOCADOES INCLUDING MEXICAN CROSSINGS.",1200,1600,1400,1.32,3
11/12/2003,45,11,4,2003,Texas,"Lower Rio Grande Valley, Texas",CHICAGO,1360,"CITRUS, AVOCADOES INCLUDING MEXICAN CROSSINGS.",1600,1700,1650,1.21,3
11/12/2003,45,11,4,2003,Texas,"Lower Rio Grande Valley, Texas",DALLAS,430,"CITRUS, AVOCADOES INCLUDING MEXICAN CROSSINGS.",700,700,700,1.63,3
11/12/2003,45,11,4,2003,Texas,"Lower Rio Grande Valley, Texas",LOS ANGELES,1520,"CITRUS, AVOCADOES INCLUDING MEXICAN CROSSINGS.",1400,1600,1500,0.99,3
