City,State,Population,lat,lon
Philadelphia,Pennsylvania,1553165,39.9525839,-75.1652215
Dallas,Texas,1257676,32.7766642,-96.7969879
Boston,Massachusetts,645966,42.3600825,-71.0588801
Atlanta,Georgia,447841,33.7489954,-84.3879824
Seattle,Washington,652405,47.6062095,-122.3320708
Chicago,Illinois,2718782,41.8781136,-87.6297982
Miami,Florida,417650,25.7616798,-80.1917902
Baltimore,Maryland,622104,39.2903848,-76.6121893
New York,New York,8405837,40.7127837,-74.0059413
Los Angeles,California,3884307,34.0522342,-118.2436849
